| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 40 m12 = 100 | 5.39443  pm 0.329679 | 11.8845 pm 1.9152 | 225.969 pm 24.5119 | 16.4619 pm 0.245543 | 90.6406 pm 14.099 | 68.9648 pm 7.7767 | 21.343 pm 3.95039 | 9.3 pm 1.55171 | 102.332 pm 14.022 | 284.873 pm 30.9167 | 
| tanbeta = 10, m0 = 40 m12 = 120 | 2.59229  pm 0.162058 | 5.83775 pm 0.996774 | 51.5032 pm 4.78029 | 3.67594 pm 0.116543 | 39.2902 pm 6.08845 | 34.661 pm 3.76455 | 10.4943 pm 1.965 | 3.92 pm 0.700431 | 39.5411 pm 5.68856 | 124.177 pm 12.4543 | 
| tanbeta = 10, m0 = 40 m12 = 140 | 1.3514  pm 0.0874225 | 3.08306 pm 0.551444 | 17.2768 pm 1.4149 | 1.85688 pm 0.0701181 | 18.3349 pm 2.74053 | 18.9246 pm 1.88616 | 5.15305 pm 0.969709 | 1.794 pm 0.341535 | 16.6316 pm 2.46192 | 58.8568 pm 5.84525 | 
| tanbeta = 10, m0 = 40 m12 = 160 | 0.75096  pm 0.0505715 | 1.72988 pm 0.318374 | 7.81602 pm 0.583512 | 1.10517 pm 0.0456476 | 9.39738 pm 1.42147 | 11.0858 pm 1.081 | 2.61903 pm 0.494568 | 0.88 pm 0.179675 | 7.6 pm 1.20984 | 29.8544 pm 2.99833 | 
| tanbeta = 10, m0 = 40 m12 = 180 | 0.4388  pm 0.0304695 | 1.01854 pm 0.194155 | 4.10932 pm 0.285628 | 0.713698 pm 0.030705 | 5.08044 pm 0.762393 | 6.79033 pm 0.664006 | 1.37903 pm 0.268988 | 0.458 pm 0.0992531 | 3.71 pm 0.643678 | 15.9427 pm 1.61605 | 
| tanbeta = 10, m0 = 40 m12 = 200 | 0.266537  pm 0.0187185 | 0.623233 pm 0.120855 | 2.38267 pm 0.158319 | 0.485248 pm 0.0220791 | 2.85622 pm 0.426078 | 4.29659 pm 0.417745 | 0.754904 pm 0.147904 | 0.25 pm 0.0575851 | 1.91 pm 0.359481 | 8.9179 pm 0.88167 | 
| tanbeta = 10, m0 = 40 m12 = 220 | 0.166961  pm 0.0123848 | 0.394438 pm 0.0778832 | 1.47261 pm 0.0935869 | 0.342226 pm 0.0162859 | 1.66407 pm 0.251294 | 2.79 pm 0.271707 | 0.4292 pm 0.0874091 | 0.1415 pm 0.0346129 | 1.03 pm 0.209251 | 5.16183 pm 0.502494 | 
| tanbeta = 10, m0 = 40 m12 = 240 | 0.107277  pm 0.00802943 | 0.256517 pm 0.0517973 | 0.9555 pm 0.0586174 | 0.248188 pm 0.0119913 | 0.997284 pm 0.15231 | 1.86104 pm 0.182624 | 0.2529 pm 0.0542185 | 0.0828 pm 0.0214228 | 0.57 pm 0.124533 | 3.1 pm 0.316691 | 
| tanbeta = 10, m0 = 40 m12 = 260 | 0.0704078  pm 0.00536065 | 0.170724 pm 0.0354405 | 0.643609 pm 0.0381801 | 0.183951 pm 0.00921116 | 0.612857 pm 0.0927583 | 1.27 pm 0.125012 | 0.1538 pm 0.0345529 | 0.0498 pm 0.013599 | 0.326 pm 0.0762214 | 1.91 pm 0.206914 | 
| tanbeta = 10, m0 = 40 m12 = 280 | 0.0469888  pm 0.00361431 | 0.115809 pm 0.0245263 | 0.447028 pm 0.0260072 | 0.139057 pm 0.00723992 | 0.382891 pm 0.0577492 | 0.876507 pm 0.0896275 | 0.09514 pm 0.0224504 | 0.0306 pm 0.00879595 | 0.191 pm 0.0476863 | 1.2 pm 0.136883 | 
| tanbeta = 10, m0 = 60 m12 = 100 | 5.23502  pm 0.308806 | 11.209 pm 1.81839 | 216.141 pm 23.2195 | 3.58612 pm 0.114416 | 84.4968 pm 13.1641 | 65.6052 pm 7.48206 | 20.0169 pm 3.65046 | 8.69 pm 1.46173 | 101.295 pm 13.9563 | 275.368 pm 29.7821 | 
| tanbeta = 10, m0 = 60 m12 = 120 | 2.53181  pm 0.15738 | 5.57212 pm 0.953717 | 50.9054 pm 4.69524 | 1.93438 pm 0.071751 | 37.0719 pm 5.71213 | 33.3002 pm 3.60347 | 9.94914 pm 1.84046 | 3.71 pm 0.664517 | 39.1494 pm 5.65151 | 120.739 pm 12.7893 | 
| tanbeta = 10, m0 = 60 m12 = 140 | 1.32669  pm 0.0861993 | 2.97145 pm 0.530546 | 17.1938 pm 1.41123 | 1.1837 pm 0.0485643 | 17.4742 pm 2.59504 | 18.3231 pm 1.84489 | 4.94838 pm 0.929256 | 1.711 pm 0.3288 | 16.5 pm 2.4143 | 57.4654 pm 5.75995 | 
